height,weight,bmi,cat,age,vegNonveg,gender,calorie_intake,food
166,49,17,1,38,0,1,2111,"Breakfast:Seedy Avocado Toast- Lunch: Veggie and Hummus Sandwich, Veggie and Hummus Sandwich- Dinner: Zucchini Peanut Noodles, White Rice"
196,43,11,1,34,0,1,2288,"Breakfast:Pear Banana Smoothie, Whole Wheat Toast- Lunch: Strawberry protein smoothie, Apples and Almond Butter- Dinner: Smashed White Beans on Toast,Green Beans with Olive Oil, Balsamic, and Garlic"
179,43,13,1,32,1,1,2660,"Breakfast:Oatmeal ,Banana ,Peanut Butter, Chocolate Shake - Lunch: Ham and cheese sandwich- Dinner:Turkey Bacon BLT Sandwich"
186,52,15,1,45,1,1,2255,"Breakfast:Banana oatmeal smoothie - Lunch:Big PB&J Sandwich,Banana + Dinner:Easy Grilled Chicken Teriyaki,Spinach Recipe"
170,53,18,1,48,0,1,2604,"Breakfast:Banana oatmeal smoothie - Lunch:Big PB&J Sandwich,Peanut Butter & Celery- Dinner:Cottage Cheese and Spinach Sandwich,Steamed Broccoli with Olive Oil and Parmesan"
169,51,17,1,56,1,1,2049,"Breakfast:Oatmeal banana protein shake - Lunch:Big PB&J Sandwich,Yogurt & Strawberries - Dinner:BLT sandwich"
179,40,12,1,58,1,1,1980,"Breakfast:Peanut Butter Protein Oats - Lunch:Big PB&J Sandwich - Dinner:Honey-Mustard Sausage Kebabs"
192,56,15,1,56,1,1,2282,"Breakfast:Blueberry protein pudding,Buttered Toast - Lunch:Big PB&J Sandwich,Yogurt & Strawberries - Dinner:BLT sandwich,Easy Hard-Boiled Eggs"
167,44,15,1,20,1,1,2166,"Breakfast:Granola,Banana Smoothie - Lunch:Chicken and avocado salad - Dinner:Chicken Kabobs,Easy Hard-Boiled Eggs"
180,41,12,1,17,0,1,2755,"Breakfast:Banana oatmeal smoothie - Lunch:Big PB&J Sandwich,Carrots with Hummus - Dinner:5 Ingredient Coconut Curry"
199,65,16,1,52,1,1,2466,"Breakfast:Banana oatmeal smoothie - Lunch:Strawberry protein smoothie,Peanut Butter & Celery- Dinner:Tomato Mozzarella Tuna Melt"
185,41,11,1,35,1,1,2175,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch:Big PB&J Sandwich,Almonds- Dinner:Chicken Kabobs,Easy Parmesan Crisps"
198,66,16,1,47,1,1,3084,"Breakfast:Oatmeal banana protein shake - Lunch:Ham and cheese sandwich- Dinner:Turkey Bacon BLT Sandwich"
170,49,16,1,50,0,1,2526,"Breakfast: Oatmeal with Milk and Blueberries - Lunch:Big PB&J Sandwich - Dinner:Flat Bread Pizza"
144,40,19,1,20,1,1,2367,"Breakfast:Tropical protein smoothie - Lunch:Big PB&J Sandwich,Almonds - Dinner:Easy Grilled Chicken Teriyaki,Steamed Broccoli with Olive Oil and Parmesan"
168,56,19,1,59,0,1,2308,"Breakfast:Oatmeal with Milk and Blueberries - Lunch:Big PB&J Sandwich,Yogurt & Strawberries - Dinner:Pasta with Red Sauce and Mozzarella,Steamed Broccoli with Olive Oil and Parmesan"
164,51,18,1,18,0,1,2486,"Breakfast:Mexican Pepper and Cheese Quesadilla - Lunch:Big PB&J Sandwich,Basic protein shake - Dinner:Greek Pasta with Tomatoes and White Beans"
184,60,17,1,36,1,1,2390,"Breakfast:Tropical protein smoothie - Lunch:Strawberry protein smoothie,Almonds - Dinner:Prosciutto Sandwich with Spinach"
191,62,16,1,49,0,1,2388,"Breakfast:Banana oatmeal smoothie - Lunch:Big PB&J Sandwich,Carrots with Hummus - Dinner:5 Ingredient Coconut Curry"
171,42,14,1,33,1,1,2094,"Breakfast:Cranberry-Banana Oatmeal - Lunch: Turkey Lettuce Rollups,Basic protein shake- Dinner:BLT sandwich,Easy Hard-Boiled Eggs"
186,55,15,1,57,0,1,2219,"Breakfast:Peanut Butter Protein Oats - Lunch:Peanut butter and jelly,Yogurt & Strawberries - Dinner:Pasta with Marinara Sauce,Steamed Broccoli with Olive Oil and Parmesan"
198,52,13,1,58,0,0,2067,"Breakfast:Peanut Butter and Honey Oatmeal - Lunch:Peanut butter and jelly,Yogurt & Strawberries - Dinner:Pasta with Red Sauce and Mozzarella,Steamed Broccoli with Olive Oil and Parmesan"
193,58,15,1,31,1,0,2778,"Breakfast:Vegetable 3 Egg Scramble - Lunch:Big PB&J Sandwich,banana - Dinner:Easy Grilled Chicken Teriyaki,Spicy Garlic Broccoli"
178,55,17,1,26,1,0,2625,"Breakfast:Buttered Toast,Banana Smoothie - Lunch: Strawberry protein smoothie,Peanut Butter & Celery- Dinner:BBQ Chicken Sandwich,Easy Hard-Boiled Eggs"
196,65,16,1,35,0,0,2885,"Breakfast:Buttered Toast- Lunch:Big PB&J Sandwich,Basic protein shake- Dinner:Greek Pasta with Tomatoes and White Beans"
172,44,14,1,20,0,0,2004,"Breakfast:Oatmeal banana protein shake - Lunch: Peanut butter and jelly,Carrots with Hummus- Dinner:2 Fat Bean and Cheese Burrito"
158,40,16,1,26,1,0,2199,"Breakfast:Oatmeal with Milk and Blueberries - Lunch:Turkey Lettuce Rollups,Basic protein shake - Dinner:Turkey & Onion uesadillas"
189,42,11,1,19,0,0,2342,"Breakfast:Mexican Pepper and Cheese Quesadilla - Lunch: Peanut butter and jelly- Dinner:Greek Pasta with Tomatoes and White Beans"
156,41,16,1,17,0,0,2265,"Breakfast:Make Ahead Burritos - Lunch:Big PB&J Sandwich,Yogurt & Strawberries - Dinner:Quick Salsa Baked Bean Bowl,Steamed Broccoli"
187,46,13,1,17,1,0,2159,"Breakfast:Peanut Butter Protein Oats - Lunch: Almond Mango Protein Shake- Dinner:BLT sandwich,Easy Hard-Boiled Eggs"
192,63,17,1,59,1,0,2382,"Breakfast:Sunrise Smoothie - Lunch:Chicken Caesar Wraps - Dinner:BLT sandwich,Easy Hard-Boiled Eggs"
184,45,13,1,55,0,0,2094,"Breakfast:Mexican Pepper and Cheese Quesadilla - Lunch:Big PB&J Sandwich - Dinner:+ Dinner Pita Pizza"
199,67,16,1,24,0,0,2736,"Breakfast:Chocolate peanut protein shake - Lunch:Big PB&J Sandwich,Spinach Tomato Salad - Dinner:Five Ingredient Pasta Toss"
193,56,15,1,26,0,0,2270,"Breakfast:Tropical protein smoothie - Lunch:Bell Pepper and Hummus Snack,Lemon Avocado Salad - Dinner:Coconut Green Curry and Soba"
156,40,16,1,20,0,0,1836,"Breakfast:TChocolate peanut protein shake - Lunch:Hummus on Whole Wheat- Dinner:Soba Noodles & Coconut Curry,Lemon Steamed Broccoli"
161,49,18,1,52,1,0,1973,"Breakfast:Quesadilla- Lunch:Strawberry protein smoothie,Peanut Butter & Celery - Dinner:Pasta la Checca"
156,42,17,1,17,1,0,1878,"Breakfast:Strawberry Oatmeal - Lunch:Peanut Butter and Honey Sandwich on Rye,Yogurt & Strawberries - Dinner:Sautéed Flank Steak and Onions with Cheddar Cheese"
141,88,44,2,55,1,1,1811,"Breakfast:fruit smoothie,Granola - Lunch: All American Tuna- Dinner:BLT sandwich,Easy Hard-Boiled Eggs"
174,104,34,2,29,0,1,2222,"Breakfast:Oranges - Lunch: Big PB&J Sandwich,Banana- Dinner:Greek Pasta with Tomatoes and White Beans"
150,70,31,2,51,1,1,1165,"Breakfast: Ham and Egg Scramble- Lunch:Strawberry protein smoothie,Celery - Dinner:Big Bad Bean Burrito"
143,57,27,2,59,0,1,1108,"Breakfast:Apple - Lunch: Peanut Butter and Honey Sandwich on Rye- Dinner:Mozzarella and Hummus on MultiGrain Flatbread,Green Beans with Olive Oil"
140,54,27,2,35,0,1,1429,"Breakfast:Tomato Scramble - Lunch:Simple Caprese Sandwich - Dinner:Mozzarella and Hummus on MultiGrain Flatbread,Steamed Broccoli with Olive Oil and Parmesan"
140,67,34,2,37,0,1,1138,"Breakfast:Oatmeal and peaches - Lunch:Peanut Butter and Honey Sandwich on Rye - Dinner:Zucchini Pasta"
181,109,33,2,44,0,1,2609,"Breakfast:Mexican Pepper and Cheese Quesadilla - Lunch: Big PB&J Sandwich,Peanut Butter & Celery- Dinner:Kidney Bean Quesadillas"
165,97,35,2,30,1,1,2043,"Breakfast:Oatmeal banana protein shake - Lunch: Mexican Cottage Cheese Salad- Dinner:Chicken bacon ranch wrap"
141,100,50,2,29,0,1,1885,"Breakfast:Strawberry Oatmeal- Lunch:Peanut Butter and Honey Sandwich on Rye,Carrots with Hummus- Dinner:Black Bean Vegetarian Quesadillas"
178,106,33,2,24,1,1,1969,"Breakfast:Oatmeal with Milk and Blueberries - Lunch:Strawberry protein smoothie,Almonds - Dinner:Chicken Kabobs,Easy Hard-Boiled Eggs"
184,92,27,2,24,1,1,2178,"Breakfast:Chocolate peanut protein shake - Lunch: Turkey Sandwich,Carrots with Hummus- Dinner:BBQ Chicken Sandwich"
167,91,32,2,53,1,1,2125,"Breakfast:Strawberry Oatmeal - Lunch:Strawberry protein smoothie,Peanut Butter & Celery - Dinner:Spicy Chicken Fajita"
168,81,28,2,38,0,1,1794,"Breakfast: Banana Almond Shake, 1 Orange - Lunch: Tomato and Cheese Wrap - Dinner: Sweet Corn Pasta"
179,102,31,2,35,0,1,1862,"Breakfast: Peanut Butter Raspberry Oatmeal - Lunch: Cottage Cheese with Spinach - Dinner: Pasta with Corn and Tomato puree"
150,61,27,2,52,0,1,1503,"Breakfast: Oatmeal Banana Pancakes - Lunch: Tomato and Lettuce Salad - Dinner: Pasta with Fresh Tomato Sauce"
151,67,29,2,43,0,1,1675,"Breakfast: Oatmeal banana protein shake - Lunch: Avocado Green Power Salad - Dinner: Veggie & Paneer salad"
163,81,30,2,19,0,1,1882,"Breakfast: Cheese Cupcake - Lunch: Cottage Cheese and Ranch Garden Salad - Dinner: Prosciutto Sandwich with Spinach"
178,104,32,2,34,0,1,1885,"Breakfast: Oat Bran Pancake - Lunch: Cottage Cheese with Soya Chunks - Dinner: Vegetable and Fruits Salad"
146,68,31,2,58,1,1,1291,"Breakfast: Black Bean Omelete - Lunch: Yogurt & Strawberries - Dinner: Mozzarella Tortilla Pizza"
157,91,36,2,40,1,1,2129,"Breakfast: Blueberry Almond Butter Oatmeal - Lunch: Tuna-Stuffed Tomato - Dinner: Chicken and Pepper Stir Fry"
141,82,41,2,20,1,1,1700,"Breakfast: Southwestern Eggs - Lunch: 2 Tuna Stuffed Tomato - Dinner: Minestrone in Minutes"
145,109,51,2,39,0,1,1667,"Breakfast: Spinach Scramble - Lunch: Vegetable Cheese sandwich - Dinner: Grilled Cheese with Tomato, Peppers and Basil"
181,97,29,2,49,0,1,2384,"Breakfast: Oatmeal with Mango and Toasted Coconut - Lunch: 2 Provolone Sandwich - Dinner: 2 Grilled Veg Sandwiches"
156,78,32,2,41,0,1,1630,"Breakfast: Nectarine Oatmeal - Lunch: Fruit & Vegetable Plate with Almonds & Cheese - Dinner: Quinoa Tabbouleh"
190,98,27,2,56,0,1,2092,"Breakfast: Spinach Scramble - Lunch: Red Bean & White Bean Salad - Dinner: Spaghetti with Sweet Chilli Sauce"
140,74,37,2,51,1,1,1138,"Breakfast: Knock-Oats - Lunch: Barbecue tuna sandwich - Dinner: Oriental Chicken Stir-Fry"
158,75,30,2,46,1,1,1844,"Breakfast: Oatmeal and Apples - Lunch: Tuna with Avocado - Dinner: Fennel & Chicken Flatbread"
171,77,26,2,24,0,1,2171,"Breakfast: Banana, Oat, and Chia Smoothie - Lunch: 2 Sun-Dried Tomato Paneer Rollups - Dinner: 2 Balsamic Zucchini Sandwiches"
157,79,32,2,38,1,1,1673,"Breakfast: 2 Egg and Cheese Sandwich - Lunch: 2 Tuna-Stuffed Tomato - Dinner: 2 Lavash Chicken Wrap"
159,73,28,2,22,1,1,1442,"Breakfast: 2 Chicken and Egg Mushroom Cups - Lunch: Chicken and cheese sandwich - Dinner: Chicken Kabobs"
154,66,27,2,43,0,1,1689,"Breakfast: Carrot Cake Oatmeal - Lunch: 2 ALT (Avocado, Lettuce, and Tomato) Sandwiches - Dinner: 2 Bowl Vegetable Soup"
144,74,35,2,32,0,1,1534,"Breakfast: Oatmeal and Apples - Lunch: 2 Lettuce Cottage Cheese Rollups - Dinner: Soyachunks With Tomato Bean Salad"
191,110,30,2,23,1,1,2120,"Breakfast: Spiced Sweet Potato and Goat Cheese Egg Skillet - Lunch: 2 Strawberry Smoothies - Dinner: 2 Cheese Spinach Turkey Burgers"
154,95,40,2,49,1,1,1791,"Breakfast: 2 Southwestern Eggs - Lunch: Avocado Green Power Salad - Dinner: Garden style pasta"
141,84,42,2,38,1,1,1343,"Breakfast: Egg White Oatmeal with Blueberries - Lunch: Turkey and Swiss Sandwich - Dinner: Microwave Parmesan Lemon Chicken and Brussels Sprouts"
144,72,34,2,25,0,1,1555,"Breakfast: 2 Balsamic Zucchini Sandwiches - Lunch: Simle Paneer and Lettuce Sandwich - Dinner: 1 Protein Soyachunk Alfredo Pasta"
141,69,34,2,59,1,1,1037,"Breakfast: 2 Bowl Nonfat Yogurt - Lunch: Cottage Cheese & Raspberries - Dinner: Broccoli Quiche"
155,90,37,2,30,1,1,2171,"Breakfast: Fruit and Yogurt Smoothie - Lunch: 2 Tuna-Stuffed Tomatoes - Dinner: Shredded Chicken White Nachos"
176,90,29,2,22,0,1,1774,"Breakfast: Peaches Oatmeal - Lunch: Quick Avocado Sandwich - Dinner: Balsamic Cheese Salad"
186,79,22,2,44,0,1,1585,"Breakfast: Spinach Scramble - Lunch: 2 Paneer Stuffed Peppers - Dinner: Soya and Red Beans Kabobs"
186,106,30,2,55,1,1,2174,"Breakfast: 5 Banana Flax Pancakes - Lunch: Tuna & White Bean Salad - Dinner: Taco Bowl Salad"
152,73,31,2,43,1,1,1264,"Breakfast: Turkey & Spinach Omelet - Lunch: 2 Tuna Stuffed Peppers - Dinner: Roasted Broccoli and Grilled Cheese Sandwich"
163,94,35,2,28,0,1,2326,"Breakfast: Banana Oat and Peanut Butter Muffin - Lunch: Red and White Beans Salad - Dinner: Spinach Almond Salad"
189,100,27,2,20,1,1,2358,"Breakfast: 2 Eggs, Cheese, and Mushroom Omelet - Lunch: Peanut Butter and Honey Sandwich on Rye - Dinner: 2 Prosciutto Sandwiches with Spinach"
159,109,43,2,26,1,1,2536,"Breakfast: Mug Omelet - Lunch: 2 Turkey and Provolone Sandwiches - Dinner: 2 Grilled Turkey Sandwiches"
176,85,27,2,58,0,1,2080,"Breakfast: Homemade Maple Granola - Lunch: Soya Lettuce Cheese Rollups - Dinner: Taco Salad"
153,108,46,2,35,0,1,1739,"Breakfast: 2 Oatmeal Cottage Cheese Pancakes - Lunch: Vegetable cheese sandwich - Dinner: 1 Protein Soyachunks Alfredo"
146,90,42,2,39,0,1,1722,"Breakfast: 2 Cottage Cheese Sandwiches - Lunch: Yoghurt Lettuce Sandwich - Dinner: Mixed Beans and Spinach Pasta"
141,103,51,2,38,1,0,1637,"Breakfast: 2 Southwestern Eggs - Lunch: Tuna & White Bean Salad - Dinner: Taco Salad Bowl"
158,89,35,2,41,1,0,1313,"Breakfast: Egg White Oatmeal with Blueberries - Lunch: Hummus on Rye - Dinner: Cucumbers and Egg Salad"
154,65,27,2,56,0,0,1315,"Breakfast: Knock-Oats - Lunch: Cottage Cheese & Strawberries - Dinner: Cheesy Spinach Scramble"
182,99,29,2,60,1,0,1783,"Breakfast: Oatmeal and raisins - Lunch: Turkey Lettuce Cheese Rollups - Dinner: Taco Salad Bowl"
142,60,29,2,41,1,0,845,"Breakfast: Oatmeal Cottage Cheese Pancake - Lunch: Tuna-Stuffed Tomato - Dinner: Steamed Broccoli"
141,101,50,2,58,1,0,1473,"Breakfast: Nectarine Oatmeal - Lunch: Turkey and Swiss Sandwich - Dinner: Prawn Stir Fry"
162,80,30,2,53,0,0,1163,"Breakfast: PB&J Smoothie - Lunch: Simple Cabbage Salad - Dinner: Skilet Creamy Lemon Pasta"
191,109,29,2,38,1,0,2147,"Breakfast: Bagel with Cream Cheese - Lunch: Paleo Avocado Chicken Salad - Dinner: 2 Prosciutto Sandwiches with Spinach"
168,81,28,2,23,1,0,1955,"Breakfast: Turkey and Spinach Omelet - Lunch: Hummus Avocado Toast - Dinner: Shrimp and Corn with Basil"
156,104,42,2,33,0,0,1813,"Breakfast: Banana Peanut Butter Chia Pudding - Lunch: Kidney Beans Lettuce Cheese Rollups - Dinner: 2 Lavash Vegetable Wraps"
142,63,31,2,30,1,0,947,"Breakfast: Granola - Lunch: Tuna-Stuffed Tomato - Dinner: Peanut Butter and Peach Toast"
182,108,32,2,24,0,0,1823,"Breakfast: Peaches and Cream Oatmeal - Lunch: Paleo Avocado Beans Salad - Dinner: Balsamic Soyachunks and Mushrooms"
151,94,41,2,55,1,0,1483,"Breakfast: 2 Grown-Up PB&J Toast - Lunch: 2 Tuna and Avocado Wraps - Dinner: 2 Chicken Wraps"
164,104,38,2,52,0,0,1472,"Breakfast: Oatmeal banana pancakes - Lunch: Paleo Avocado Beans Salad - Dinner: Soyachunks and Tomato Kabobs"
158,99,39,2,17,1,0,1872,"Breakfast: 2 Eggs, Mushroom Omelet - Lunch: 2 ALT (Avocado, Lettuce, and Tomato) Sandwiches - Dinner: Chicken & Mayo Bagel"
