height,weight,bmi,cat,age,vegNonveg,gender,calorie_intake,food
195,110,28,2,23,0,0,2298,"Breakfast: Banana Nut Oatmeal- Lunch: Cucumber Sandwich,Yogurt with Almonds & Honey- Dinner:One-Pot Spaghetti with Fresh Tomato Sauce"
184,104,30,2,16,1,0,2170,"Breakfast: Mini Pizzas - Lunch: Tuna and Ranch Garden Salad, 2 Calorie Hummus - Dinner: Cottage Cheese and Spinach Sandwich, Easy Hard-Boiled Eggs"
155,78,32,2,51,0,0,1099,"Breakfast: Seedy Hummus Toast- Lunch: 2 Calorie Hummus- Dinner: Pasta with Fresh Tomato Sauce"
190,102,28,2,46,0,0,2315,"Breakfast: Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet, Morning Roasted Potatoes- Lunch: Tahini on Rye - Dinner: Quick and Easy Grilled Cheese"
146,65,30,2,34,0,0,977,"Breakfast: Fruit salad - Lunch: Lemon Avocado Salad - Dinner: White Rice"
140,100,51,2,60,1,0,1691,"Breakfast: PB&J Smoothie, Whole Wheat Toast - Lunch: Hummus on Whole Wheat - Dinner: Spicy Chicken Salad, Fire Roasted Tomatoes with Cheese"
178,102,32,2,37,1,0,1947,"Breakfast: Blackberry Almond Butter Sandwich - Lunch: Tuna-Stuffed Tomato,Peach and Peanut Butter Snack - Dinner: Chicken Parmesan, Easy Sautéed Spinach"
143,108,52,2,60,1,0,1315,"Breakfast: Fruit and Yogurt Smoothie - Lunch:Yogurt & Strawberries - Dinner: Cheesy Chorizo Chicken and Spinach"
154,99,41,2,30,1,0,2044,"Breakfast:Oatmeal Cottage Cheese Pancakes - Lunch:Chicken Celery Sticks, Tossed Tomatoes, Cucumber, and Red Peppers - Dinner: Gourmet Grilled Cheese"
174,108,35,2,27,0,0,2063,"Breakfast: Island in the Sun Smoothie - Lunch: Fruit & Vegetable Plate with Almonds & Cheese, 2 Calorie Hummus - Dinner: Pineapple, Black Beans, and Couscous"
178,91,28,2,44,1,0,1748,"Breakfast: Eggs Baked in Avocado- Lunch: Chicken and cheese sandwich, Carrots - Dinner: Chicken & Mayo Bagel, Roasted Broccoli with Parmesan Lemon Butter Sauce"
143,64,31,2,23,1,0,1009,"Breakfast: Microwave Vanilla Banana Oat Cake- Lunch: Lime Chicken Salad, Quick and Easy Homemade Hummus - Dinner: BLT sandwich"
168,99,35,2,38,1,0,1526,"Breakfast: Spinach Avocado Smoothie Bowl, Oranges - Lunch:Turkey Lettuce Rollups, Cottage Cheese & Raspberries - Dinner: BBQ Chicken Sandwich, Roasted Green Beans"
159,83,32,2,60,1,0,1135,"Breakfast:PB&J Smoothie - Lunch: Peanut butter and jelly- Dinner: Grilled Steak with Pepper Relish"
160,108,42,2,53,0,0,2063,"Breakfast: Oat Bran Pancake, Warm Blueberry Yogurt - Lunch: Big PB&J Sandwich - Dinner: + Dinner Pita Pizza, Steamed Broccoli with Olive Oil and Parmesan"
151,80,35,2,25,1,0,1249,"Breakfast: Grown-Up PB&J Toast - Lunch: Light Raspberry yogurt - Dinner: Caulif2er Chicken Fried Rice"
141,80,40,2,50,1,0,1468,"Breakfast: Egg White Avocado & Tomato Scramble- Lunch: Tuna Stuffed Pepper, Turkey and Avocado Wrap - Dinner: Chicken and Ranch Wrap"
142,107,53,2,46,1,0,1646,"Breakfast: Chocolate peanut protein shake- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Chicken Kabobs"
140,108,55,2,32,1,0,1460,"Breakfast: Berry Yogurt Smoothie- Lunch: Tuna Stuffed Pepper- Dinner: Kielbasa, Pepper, Onion and Potato Hash"
144,103,49,2,22,1,0,2071,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: Oriental Chicken Stir-Fry"
145,97,46,2,55,1,0,1473,"Breakfast: Berry Yogurt Smoothie- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Kielbasa, Pepper, Onion and Potato Hash"
173,95,31,2,42,0,0,2073,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Spinach Tomato Quesadilla"
168,108,38,2,55,0,0,2125,"Breakfast: Bagel with Cream Cheese- Lunch: Big PB&J Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
148,110,50,2,28,1,0,1568,"Breakfast: Tropical protein smoothie- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Easy Grilled Chicken Teriyaki"
177,101,32,2,46,1,0,1570,"Breakfast: Make Ahead Burritos- Lunch: Yogurt & Banana- Dinner: Cheesy Chicken and Spinach"
171,99,33,2,24,1,0,2255,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Turkey Sandwich- Dinner: Turkey Bacon BLT Sandwich"
146,91,42,2,59,0,0,1618,"Breakfast: Oatmeal banana protein shake- Lunch: Simple Caprese Sandwich- Dinner: Mozzarella and Hummus on MultiGrain Flatbread"
182,90,27,2,27,1,0,2199,"Breakfast: Sunrise Smoothie- Lunch: Chicken Caesar Wraps- Dinner: BLT sandwich"
189,103,28,2,25,0,0,2137,"Breakfast: Parfait- Lunch: Big PB&J Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
165,76,27,2,27,1,0,1548,"Breakfast: Nutella and Banana Toast- Lunch: Tomato and Hummus on Rye- Dinner: Toaster Oven Mozzarella Tortilla Pizza"
159,89,35,2,32,1,0,1375,"Breakfast: Smoothie- Lunch: Tuna Mex Tuna Salad- Dinner: Chicken Kabobs"
191,87,23,3,41,0,1,2236,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
173,69,23,3,46,0,1,2396,"Breakfast: Everything Bagel with Cream Cheese and Cucumber- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Greek Pasta with Tomatoes and White Beans"
161,54,20,3,27,1,1,1940,"Breakfast: Chocolate peanut protein shake- Lunch: Chicken and avocado salad- Dinner: Pasta la Checca"
189,85,23,3,52,1,1,2131,"Breakfast: Peanut Butter & Banana Oatmeal- Lunch: Peanut Butter and Honey Sandwich on Rye- Dinner: Easy Grilled Chicken Teriyaki"
192,71,19,3,45,0,1,2619,"Breakfast: Toasted Chili Pepper Cheese Sandwich- Lunch: Peanut butter and jelly- Dinner: + Dinner Pita Pizza"
171,65,22,3,53,0,1,1998,"Breakfast: Oatmeal banana protein shake- Lunch: Tomato and Cheese Wrap- Dinner: Greek Pasta with Tomatoes and White Beans"
163,65,24,3,18,1,1,1900,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Banana Avocado Protein Smoothie- Dinner: Chicken Kabobs"
156,55,22,3,38,0,1,1835,"Breakfast: Kale White Bean and Pesto Salad- Lunch:Oatmeal and raisins- Dinner: Spinach and Sun-dried Tomato Sandwich"
169,74,25,3,43,0,1,2173,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Fruit salad- Dinner: 2 Fat Bean and Cheese Burrito"
140,49,25,3,33,1,1,1867,"Breakfast: Vegetable 3 Egg Scramble- Lunch: Cottage Cheese Tuna Salad- Dinner: 2 Fat Bean and Cheese Burrito"
155,54,22,3,25,0,1,1666,"Breakfast: Cottage Cheese with Fruit and Granola- Lunch: Veggie and Hummus Sandwich- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
163,69,25,3,52,0,1,1991,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast- Lunch: Potato Chip Sandwich- Dinner: + Dinner Pita Pizza"
172,51,17,3,45,1,1,1638,"Breakfast: Chocolate peanut protein shake- Lunch: Corn Tuna Salad- Dinner: Chicken Kabobs"
164,58,21,3,39,1,1,2193,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Chicken Celery Sticks- Dinner: BBQ Chicken Sandwich"
174,64,21,3,58,1,1,1976,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Easy Microwave Sausage, Kale, and White Beans"
181,77,23,3,20,0,1,2474,"Breakfast: Peanut Butter Protein Oats- Lunch: Simple Caprese Sandwich- Dinner: Broccoli & Feta Pasta Salad"
179,66,20,3,26,1,1,2265,"Breakfast: Cranberry-Banana Oatmeal- Lunch: Chicken Celery Sticks- Dinner: Grilled turkey sandwich"
145,44,20,3,20,0,1,1501,"Breakfast: Peanut Butter Protein Oats- Lunch: Chocolate Peanut Butter Protein Shake- Dinner: White Bean and Kale Soup"
187,90,25,3,57,1,1,2772,"Breakfast: Strawberry Protein Shake- Lunch: Tuna and Ranch Garden Salad- Dinner: Shredded Chicken White Nachos"
181,68,20,3,44,1,1,2186,"Breakfast: Oats with Rice Milk and Banana- Lunch: Tuna and Ranch Garden Salad- Dinner: BBQ Chicken Sandwich"
187,74,21,3,59,0,1,1942,"Breakfast: Cottage Cheese with Fruit and Granola- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Baby Broccoli and Beans"
193,75,20,3,21,1,1,2543,"Breakfast: Banana oatmeal smoothie- Lunch: Tuna and Ranch Garden Salad- Dinner: BBQ Chicken Sandwich"
162,58,22,3,20,0,1,2321,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Creamy Spinach and Mushroom Sauce"
170,64,22,3,35,0,1,2099,"Breakfast: Bagel with Cream Cheese- Lunch: Fruit salad- Dinner: Pasta with Baby Broccoli and Beans"
193,93,24,3,48,1,1,2281,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Pinto Bean salad- Dinner: Greek Style Ravioli"
161,53,20,3,42,0,1,1823,"Breakfast: Strawberry Oatmeal- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
142,43,21,3,21,1,1,1887,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: King Crab Salad- Dinner: Spicy Chicken soup"
153,48,20,3,26,1,1,1796,"Breakfast: Oatmeal banana protein shake- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: BLT sandwich"
190,82,22,3,34,0,1,2524,"Breakfast: Peanut Butter Banana Oatmeal Shake- Lunch: Lemon Avocado Salad- Dinner: One-Pot Spaghetti with Fresh Tomato Sauce"
144,51,24,3,56,1,1,1759,"Breakfast: Chocolate peanut protein shake- Lunch: King Crab Salad- Dinner:Spicy Chicken soup"
163,64,24,3,26,1,1,2377,"Breakfast: Banana oatmeal smoothie- Lunch: Tuna and Ranch Garden Salad Sandwich- Dinner: Basic Chicken Quesadilla"
169,66,23,3,33,0,0,1668,"Breakfast: Oatmeal and raisins- Lunch:Hummus and Veggie Sandwich- Dinner:Grilled Cheese with Tomato, Peppers and Basil"
164,60,22,3,60,1,0,1804,"Breakfast: Vanilla Banana Protein Shake- Lunch: Chicken Celery Sticks- Dinner: 2 Fat Bean and Cheese Burrito"
194,79,20,3,51,1,0,2173,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Maple Strawberries and Cream- Dinner: Tomato Mozzarella Tuna Melt"
181,73,22,3,16,0,0,1944,"Breakfast: Fruit and Granola Yogurt- Lunch: Fruit salad- Dinner: Pasta with Baby Broccoli and Beans"
156,58,23,3,16,1,0,1800,"Breakfast: Vegetable 3 Egg Scramble- Lunch: Cucumber Turkey Sandwich with Gournay- Dinner: 2 Fat Bean and Cheese Burrito"
159,61,24,3,16,1,0,1635,"Breakfast: 1 Protein Energy Balls- Lunch: Corn Tuna Salad- Dinner: Easy Microwave Sausage, Kale, and White Beans"
195,84,22,3,20,1,0,2462,"Breakfast: Strawberry Oatmeal- Lunch: Cucumber, Tomato, Chicken, and Cheese Sandwich- Dinner: BLT sandwich"
193,95,25,3,41,0,0,2148,"Breakfast: Oatmeal and raisins- Lunch: Tomato and Hummus Pocket Sandwich- Dinner: + Dinner Pita Pizza"
163,58,21,3,18,1,0,2089,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Cucumber Turkey Sandwich with Gournay- Dinner: BBQ Chicken Sandwich"
196,79,20,3,46,1,0,2517,"Breakfast: Orange-Vanilla Protein Smoothie- Lunch: Tuna and Ranch Garden Salad- Dinner: Tomato Mozzarella Tuna Melt"
158,58,23,3,33,0,0,1924,"Breakfast: Bagel with Cream Cheese- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Pasta Caprice"
179,76,23,3,30,1,0,1881,"Breakfast: Oatmeal banana protein shake- Lunch: Chicken Celery Sticks- Dinner: Pasta with Red Sauce and Mozzarella"
169,56,19,3,27,0,0,2046,"Breakfast: Bagel with Cream Cheese- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Mama's Best Broiled Tomato Sandwich"
173,60,20,3,32,1,0,1632,"Breakfast: Strawberries and Cream Smoothie- Lunch: Corn Tuna Salad- Dinner: Veggie & chicken salad"
160,50,19,3,46,1,0,1519,"Breakfast: Pecans- Lunch: Cottage Cheese with Spicy Tuna- Dinner: BLT sandwich"
"200,103,25,3,34,1,0,2338,Breakfast: Cranberry-Banana Oatmeal- Lunch: Paleo Avocado Chicken Salad- Dinner:Spicy Chicken Salad"
155,53,22,3,38,0,0,1572,"Breakfast: Strawberry Yogurt and Strawberries- Lunch: Southwestern Salad with Black Beans- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
143,54,26,3,45,0,0,1257,"Breakfast: Oatmeal and peaches- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
196,79,20,3,16,0,0,2749,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Simple Caprese Sandwich, Almonds- Dinner: + Dinner Pita Pizza"
158,54,21,3,54,0,0,1315,"Breakfast: Peanut Butter Protein Oats, Oranges- Lunch: Bell Pepper and Hummus Snack, Avacado- Dinner: Pasta with Marinara Sauce, Steamed Broccoli with Olive Oil and Parmesan"
188,93,26,3,47,1,0,2050,"Breakfast: Oatmeal banana protein shake- Lunch: Peanut Butter & Carrots, Grapes- Dinner:Almond Butter Chicken Salad Lettuce Wrap"
168,60,21,3,55,1,0,1663,"Breakfast: Oatmeal banana protein shake- Lunch: Barbecue tuna sandwich, Almonds- Dinner:Chicken Kabobs"
163,61,22,3,32,0,0,2027,"Breakfast: Mango Trifle, Cheese On Toast- Lunch: Lemon Avocado Salad- Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
154,61,25,3,46,0,0,1417,"Breakfast: Oatmeal and Apples- Lunch:Caprese Salad- Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Zucchini Spears"
182,82,24,3,42,1,0,2459,"Breakfast: Protein Smoothie Bowl- Lunch: Mexican Black Bean and Chicken Stew with Rice- Dinner:Paprika Chicken with Salad"
164,60,22,3,45,0,0,1697,"Breakfast: Banana & Almond Butter Toast- Lunch: Peanut Butter and Honey Sandwich on Rye, Carrots with Hummus- Dinner:Mozzarella and Hummus on MultiGrain Flatbread, Steamed Broccoli with Olive Oil and Parmesan"
173,78,26,3,35,0,0,1830,"Breakfast: Strawberry Oatmeal- Lunch: Peanut Butter and Honey Sandwich on Rye, Yogurt & Strawberries- Dinner:Pasta with Red Sauce and Mozzarella, Steamed Broccoli with Olive Oil and Parmesan"
164,63,23,3,37,1,0,2028,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Peach Protein Smoothie- Dinner: BLT sandwich, Easy Hard-Boiled Eggs"
194,87,23,3,50,0,0,2289,"Breakfast: Bagel with Cream Cheese- Lunch: Tomato and Cheese Wrap,Carrots with Hummus- Dinner: Gourmet Grilled Cheese, Roasted asparagus"
190,86,23,3,33,0,0,2668,"Breakfast:Oatmeal with Milk and Blueberries, Whole wheat toast- Lunch: Simple Caprese Sandwich, Banana- Dinner:Greek Pasta with Tomatoes and White Beans"
169,58,20,3,30,1,0,1590,"Breakfast: Oatmeal banana protein shake- Lunch: Apples and Almond Butter, Yogurt & Strawberries- Dinner: Microwave Parmesan Lemon Chicken and Brussels Sprouts"
194,85,22,3,47,0,0,2283,"Breakfast: Peanut Butter and Honey Oatmeal- Lunch: Tomato and Cheese Wrap- Dinner: Pasta Caprice, Microwaved sweet potato"
179,87,27,3,16,1,0,2097,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch:Apricot Jam and Almond Butter Sandwich- Dinner:Almond Butter Chicken Salad Lettuce Wrap"
145,42,19,3,51,1,0,1247,"Breakfast: Tropical protein smoothie- Lunch: Chicken Celery Sticks- Dinner: Spicy Chicken Salad"
173,58,19,3,39,1,0,1788,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: BBQ Chicken Sandwich, Easy Hard-Boiled Eggs"
181,83,25,3,22,1,0,2028,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Barbecue tuna sandwich, Almonds- Dinner:Gourmet Grilled Cheese"
140,48,24,3,40,1,0,1361,"Breakfast: Spinach, Swiss, and Egg White Omelet, Whole Wheat Toast- Lunch:Spanish-style Toast with Tomato (Pan con tomate)- Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Easy Hard-Boiled Eggs"
